temp,loading,conc,density,visc
30,0,5,0.98478,4.953
35,0,5,0.98112,3.925
40,0,5,0.9774,3.178
30,0.4,5,1.08981,10.68
35,0.4,5,1.08636,8.44
40,0.4,5,1.08288,6.795
30,0.28,5,1.04611,8.158
35,0.28,5,1.04265,6.442
40,0.28,5,1.03913,5.196
30,0,3,0.99186,2.228
35,0,3,0.98912,1.853
40,0,3,0.9862,1.566
30,0.49,3,1.06593,2.913
35,0.49,3,1.06292,2.451
40,0.49,3,1.05981,2.09
30,0.33,3,1.04433,2.742
35,0.33,3,1.04133,2.299
40,0.33,3,1.0382,1.952
30,0,2,0.99344,1.456
35,0,2,0.99113,1.246
40,0,2,0.98855,1.08
30,0.54,2,1.04669,1.661
35,0.54,2,1.04418,1.438
40,0.54,2,1.04149,1.258
30,0.36,2,1.03035,1.628
35,0.36,2,1.02777,1.401
40,0.36,2,1.02501,1.218
