temp,loading,conc,thcond,spheat
30,0,5,360.605,3.36
35,0,5,362.97,3.4
40,0,5,365.26,3.44
45,0,5,367.225,3.485
50,0,5,369.38,3.53
55,0,5,371.77,3.57
60,0,5,372.83,3.61
65,0,5,374.455,3.65
70,0,5,375.385,3.68
75,0,5,376.685,3.72
30,0.4,5,368.63,3.07
35,0.4,5,370.43,3.105
40,0.4,5,372.185,3.14
45,0.4,5,373.535,3.17
50,0.4,5,375.25,3.2
55,0.4,5,376.685,3.24
60,0.4,5,377.12,3.26
65,0.4,5,378.495,3.3
70,0.4,5,380.07,3.33
75,0.4,5,398.68,3.415
30,0.28,5,360.39,3.16
35,0.28,5,362.505,3.2
40,0.28,5,364.89,3.24
45,0.28,5,367.09,3.28
50,0.28,5,368.56,3.31
55,0.28,5,370.715,3.35
60,0.28,5,371.645,3.38
65,0.28,5,371.63,3.41
70,0.28,5,371.27,3.44
75,0.28,5,370.095,3.97
30,0,3,451.2,3.74
35,0,3,456.19,3.78
40,0,3,459.96,3.8
45,0,3,463.74,3.83
50,0,3,467.07,3.85
55,0,3,470.98,3.875
60,0,3,473.42,3.89
65,0,3,476.955,3.91
70,0,3,478.44,3.93
75,0,3,480.295,3.94
30,0.49,3,455.575,3.5
35,0.49,3,458.89,3.52
40,0.49,3,462.9,3.55
45,0.49,3,466.24,3.57
50,0.49,3,469.61,3.59
55,0.49,3,473.04,3.61
60,0.49,3,474.845,3.63
65,0.49,3,474.6,3.64
70,0.49,3,474.375,3.65
75,0.49,3,478.94,3.67
30,0.33,3,453.8,3.56
35,0.33,3,457.2,3.59
40,0.33,3,460.865,3.62
45,0.33,3,463.92,3.64
50,0.33,3,460.935,3.66
55,0.33,3,468.33,3.68
60,0.33,3,470.56,3.69
65,0.33,3,472.175,3.71
70,0.33,3,473.395,3.72
75,0.33,3,475,3.74
30,0,2,499.425,3.9
35,0,2,504.15,3.92
40,0,2,508.86,3.94
45,0,2,513.88,3.96
50,0,2,519.055,3.97
55,0,2,523.47,3.98
60,0,2,526.7,3.99
65,0,2,530.3,3.99
70,0,2,531.595,3.99
75,0,2,533.77,4
30,0.54,2,505.345,3.72
35,0.54,2,510.145,3.74
40,0.54,2,514.705,3.76
45,0.54,2,519.32,3.77
50,0.54,2,521.75,3.78
55,0.54,2,524.785,3.78
60,0.54,2,524.43,3.78
65,0.54,2,526.435,3.79
70,0.54,2,526.765,3.79
75,0.54,2,527.15,3.79
30,0.36,2,501.02,3.77
35,0.36,2,506.285,3.79
40,0.36,2,460.585,3.805
45,0.36,2,514.79,3.82
50,0.36,2,517.405,3.83
55,0.36,2,520.76,3.84
60,0.36,2,522.55,3.84
65,0.36,2,525.475,3.85
70,0.36,2,526.29,3.85
75,0.36,2,527.075,3.85
